age,rate
15,0.1200
16,0.1200
17,0.1200
18,0.1200
19,0.1200
20,0.1200
21,0.1200
22,0.1200
23,0.1200
24,0.1200
25,0.0900
26,0.0900
27,0.0900
28,0.0900
29,0.0900
30,0.0600
31,0.0600
32,0.0600
33,0.0600
34,0.0600
35,0.0400
36,0.0400
37,0.0400
38,0.0400
39,0.0400
40,0.0400
41,0.0400
42,0.0400
43,0.0400
44,0.0400
45,0.0300
46,0.0300
47,0.0300
48,0.0300
49,0.0300
50,0.0300
51,0.0300
52,0.0300
53,0.0300
54,0.0300
55,0.0500
56,0.0500
57,0.0500
58,0.0500
59,0.0500
60,0.0800
61,0.0800
62,0.0800
63,0.0800
64,0.0800
65,0.0800
66,0.0800
67,0.0800
68,0.0800
69,0.0800
70,0.0800
