service,rate
0,0.1500
1,0.1000
2,0.1000
3,0.0700
4,0.0700
5,0.0500
6,0.0500
7,0.0500
8,0.0500
9,0.0500
10,0.0300
11,0.0300
12,0.0300
13,0.0300
14,0.0300
15,0.0300
16,0.0300
17,0.0300
18,0.0300
19,0.0300
20,0.0200
21,0.0200
22,0.0200
23,0.0200
24,0.0200
25,0.0200
26,0.0200
27,0.0200
28,0.0200
29,0.0200
30,0.0200
31,0.0200
32,0.0200
33,0.0200
34,0.0200
35,0.0200
36,0.0200
37,0.0200
38,0.0200
39,0.0200
40,0.0200
41,0.0200
42,0.0200
43,0.0200
44,0.0200
45,0.0200
